image_name,question,answer
000000009383.jpg,cửa hàng si phía sau những người dân quân chuyên kinh doanh mặt hàng nào ?,"cửa hàng chuyên bán giày , dép"
000000005264.jpg,có bao nhiêu người mặc áo trắng tại siêu thị này ?,có một người mặc áo trắng tại siêu thị này
000000007644.jpg,có bao nhiêu người đội mũ bảo hiểm ?,có một người đội mũ bảo hiểm
000000010350.jpg,nhà hàng bánh xèo ăn là ghiền được trao tặng chứng nhận năm nào ?,năm 2010
000000005549.jpg,chị gái đang ngồi mặc váy màu gì ?,màu trắng
000000007624.jpg,tường nhà màu gì ?,tường nhà màu vàng
000000008604.jpg,cô gái đứng dựa vào tường đeo cái gì ở ngang đùi ?,túi xách
000000010058.jpg,có những ai đang đứng xem các giỏ quà này ?,không có ai
000000004218.jpg,có bao nhiêu người ?,có hai người
000000005957.jpg,có bao nhiêu chiếc xe đạp trong viện bảo tàng ?,có một chiếc xe đạp
000000009970.jpg,ở bên ngoài cửa cửa hàng hoàng anh dán biển thông báo báo thêm những gì ?,"sin , thẻ cào"
000000002049.jpg,siêu thị đang làm gì bên trong ?,siêu thị đang sửa chữa bên trong
000000001427.jpg,nguyễn bỉnh khiêm là trường gì ?,là trường trung học phổ thông
000000007258.jpg,người đàn ông mặc áo thun trắng đang đứng ở ben con sông với ai ?,với một bé gái mặc đầm màu trắng
000000008884.jpg,đây là chỗ nào ?,đây là một khu chợ
000000009077.jpg,có bao nhiêu người đàn ông mang áo sơ mi màu xanh dương ?,có một người đàn ông mang áo sơ mi màu xanh dương
000000008696.jpg,chiếc xe máy đang chạy theo hướng nào ?,chiếc xe máy đang chạy từ trái qua phải
000000005332.jpg,những quả bắp cải được đặt ở đâu ?,những quả bắp cải được đặt bên phải những quả dưa leo
000000006137.jpg,các chiếc tàu có màu sắc chủ đạo là màu gì ?,màu trắng
000000009135.jpg,chiếc cửa của cửa hàng này có màu gì ?,chiếc cửa của cửa hàng này có màu đen
000000007841.jpg,người phụ nữ mặc áo khoác đen đang nhìn chỗ nào ?,cô ấy đang nhìn dòng chữ trên tường
000000007962.jpg,mọi người đang đứng ở đâu ?,ở sân trước một căn nhà lớn
000000008807.jpg,số hiệu của con tàu là gì ?,con tàu có số hiệu là 2337
000000007312.jpg,nhóm thanh niên đang đứng ở đâu ?,gần một tháp phun nước
000000007113.jpg,cô gái mặc váy màu gì ?,cô ấy mặc váy màu cam
000000005164.jpg,người đang đạp xe mặc chiếc áo màu gì ?,người đang đạp xe mặc chiếc áo màu đỏ
000000002858.jpg,sao bắc việt thuộc loại hình giáo dục nào ?,sao bắc việt thuộc loại hình trung tâm dạy nghề
000000009030.jpg,máy bay có số hiệu là gì ?,máy bay có số hiệu là 4 324
000000008612.jpg,người phụ nữ áo trắn đang làm gì ?,cô ấy đang nói chuyện
000000005620.jpg,người đàn ông đeo kính đứng bên nào so với người còn lại ?,phía bên phải
000000009501.jpg,chợ nổi này tên là gì ?,chợ nổi cái bè
000000010876.jpg,cửa hàng nằm trên quận nào ?,quận 13
000000005325.jpg,có bao nhiêu chiếc lồng đèn treo ở tầng hai của căn nhà ?,có ba chiếc lồng đèn treo trên tầng hai
000000005748.jpg,bên cạnh các hình nhân là vật gì ?,bên cạnh các hình nhân là các bức ảnh
000000006285.jpg,phía trước tòa nhà được xây dựng thêm gì để trang trí ?,đài phun nước
000000011011.jpg,kế bên hiệu vàng và hàng bạc vĩnh an là cửa tiệm gì ?,tiệm vàng phúc thành
000000008537.jpg,có bao nhiêu người phụ nữ đang ngồi bán hàng ?,có hai người phụ nữ đang ngồi bán hàng
000000001188.jpg,chợ nguyễn tri phương nằm dưới sự quản lý của cơ quan nào ?,chợ nguyễn tri phương nằm dưới sự quản lý của ủy ban nhân dân quận 10
000000007623.jpg,tại nơi đây đang là buổi nào ?,buổi sáng
000000002609.jpg,đi trên đường nào có thể thấy shop thời trang trẻ em bảo nhi ?,đi trên đường hòa mã
000000002973.jpg,hộp thư này nằm trên phố nào ?,hộp thư này nằm trên phố đinh lễ
000000009491.jpg,người phụ nữ mang đồ đen đang làm gì ?,người phụ nữ mang đồ đen đang gánh hàng rong
000000006796.jpg,chiếc máy bay được sơn màu gì ?,chiếc máy bay được sơn màu trắng và xanh dương
000000009357.jpg,đây là chợ gì ?,chợ bình tây
000000005838.jpg,cô gái mặc gì khi ngồi trên hộp quà màu xanh da trời ?,cô gái mặc một chiếc đầm màu đỏ
000000004883.jpg,người phụ nữ có hình xăm sau lưng đang mang áo màu gì ?,người phụ nữ có hình xăm sau lưng đang mang áo váy màu đỏ
000000001364.jpg,trong tranh mọi người đang làm gì ?,đang mua bán ở ngoài chợ
000000005235.jpg,có tất cả bao nhiêu cây cột điện được đặt trước cửa hàng này ?,có ba cây cột điện trước cửa hàng
000000007928.jpg,bạn nữ này đang di chuyển bằng gì ?,bạn nữ này đang di chuyển bằng thuyền
000000006139.jpg,cô gái áo trắng đang đứng ở vị trí nào so với người phụ nữ áo xanh lá ?,cô gái áo trắng đang đứng sau người phụ nữ áo xanh lá
000000008200.jpg,người đàn bà đang đội cái gì trên đầu ?,người đàn bà đội nón lá
000000000809.jpg,tang lễ diễn ra vào ngày nào âm lịch ?,14 / 11 / 2018
000000004995.jpg,người đàn ông mặc đồ màu xanh lá đang trong tư thế gì ?,ngồi
000000011040.jpg,trả bao nhiêu tiền để mua một cân cam sành hàm yên ?,trả 11 000 đồng để mua một cân cam sành hàm yên
000000001191.jpg,tấm biển có viền màu gì ?,viền màu đỏ
000000009621.jpg,chiếc xe tải dậu ở trước cửa hàng hoàn thiện chở theo hàng hóa gì ?,những chiếc xe máy
000000005161.jpg,những chiếc đèn lồng được treo ở đâu ?,phía trên một con phố
000000004223.jpg,người đàn ông đang mang nón màu gì ?,nón màu nâu
000000010187.jpg,người phụ nữ mặc áo khoác xanh dương dẫn theo bao nhiêu đứa bé đi siêu thị ?,một đứa
000000002621.jpg,có sự kiện gì đang diễn ra ?,có olympic đang diễn ra
000000006661.jpg,có những cái tượng hình người đang nằm ở đâu trong căn phòng ?,"một cái trên tủ thờ , một cái đặt dưới sàn giữa phòng"
000000010887.jpg,dòng chữ đức hải có màu gì ?,dòng chữ đức hải có màu đỏ
000000002119.jpg,tên đầy đủ của thiền viện này là gì ?,thiền viện trúc lâm phương nam
000000001152.jpg,hồ sơ xin việc này của ai ?,của lê thủy tiên
000000002146.jpg,quán phở gia truyền bán phở gia truyền của địa phương nào ?,phở gia truyền hà nội
000000001663.jpg,khi đi trên đoạn đường này người đi đường chú ý điều gì ?,giảm tốc độ
000000006074.jpg,người đang ngồi bên đường trông ra sao ?,người đang ngồi bên đường là người đàn ông mặc áo thun xanh lá
000000006046.jpg,nét bóng của dòng chữ trên bức ảnh có màu gì ?,nét bóng của dòng chữ có màu đỏ
000000001979.jpg,cái gì được cầm trên tay ?,chai tương bần
000000006072.jpg,biểu cảm của người đàn ông đang như thế nào ?,người đàn ông đang cười
000000004713.jpg,mọi người đang vui chơi ở đâu ?,mọi người đang chơi trong một khu vui chơi
000000010966.jpg,địa chỉ cửa hàng bên tay phải là bao nhiêu ?,đường 271 đồng kỵ - từ sơn
000000011078.jpg,chữ hồ lô gia có màu gì ?,có màu vàng
000000009462.jpg,quán ăn nằm ở số nhà bao nhiêu ?,16
000000001407.jpg,công ty này thuộc loại công ty gì ?,thuộc loại công ty trách nhiệm hưu hạn một thành viên
000000010700.jpg,có bao nhiêu chiếc xe hơi chạy phía trước cửa hàng thegioididong ?,có một chiếc xe chạy phía trước cửa hàng
000000004057.jpg,người phụ nữ mặc áo vàng đang đẩy cái gì ?,người phụ nữ ấy đang đẩy chiếc xe đẩy siêu thị
000000010950.jpg,biển hiệu ở hình thứ hai từ trái sang có hình gì ?,hình tròn
000000002208.jpg,mọi người đang tham dự sự kiện gì ?,mọi người đang tham dự sự kiện lễ khai trương thùng quỹ nhân đạo trên hệ thống bưu điện việt nam
000000010678.jpg,có bao nhiêu người đang ngồi trên chiếc thuyền ?,hai người
000000003187.jpg,quán ăn này tên gì ?,quán ăn tên phố nướng
000000004340.jpg,người phụ nữ mặc áo màu hồng đang làm gì ?,đang xếp lại những chai nước mắm
000000008698.jpg,chiếc xe đạp đang chở những gì ?,chiếc xe đạp đang chở những chậu hoa
000000005002.jpg,người phụ nữ áo sọc trắng đang cầm bao nhiêu chiếc túi ?,đang cầm hai chiếc túi
000000004115.jpg,người bên phải người đàn ông áo trắng đang mang áo màu gì ?,người bên phải mang áo màu đen
000000007711.jpg,cô gái đang sử dụng thức uống gì ?,nước dừa
000000007748.jpg,có bao nhiêu người phía sau người phụ nữ ngồi trên xe máy ?,có ba người phụ nữ ở phía sau người phụ nữ ngồi trên xe máy
000000007014.jpg,mọi ngươi kéo chiếc xe đẩy màu gì ?,màu đỏ
000000004629.jpg,người phụ nữ đang nhìn vào quầy bán gì ?,quầy bán thịt
000000006335.jpg,những chiếc đèn lồng được treo trên cái gì ?,những chiếc đèn lồng được treo trên những sợi dây giăng trên cao
000000009498.jpg,mỗi một kí bắp cải bắc được bán với giá bao nhiêu ?,một kí bắp cải bắc được bán với giá 5 900 đồng
000000005951.jpg,có bao nhiêu người ngồi trên xe máy ?,có một người
000000002915.jpg,trang web của hệ thống là gì ?,www . pico . vn
000000008299.jpg,đây là đâu ?,dây là triễn lãm
000000009972.jpg,có bao nhiêu chiếc xe máy chạy vào trong chợ ?,có ba chiếc xe máy chạy vào trong chợ
000000007005.jpg,hai bạn này đang đứng ở đâu ?,ở trước một căn nhà được sơn màu vàng
000000008160.jpg,người người bán hàng trong khu chợ này bán chủ yếu những sản phẩm gì ?,"quần áo , vải vóc"
000000008623.jpg,có bao nhiêu người đang đứng ở quầy phục vụ ?,một người
000000004947.jpg,biểu cảm của cô gái và chàng trai như thế nào ?,cả hai đang cười
000000001879.jpg,số điện thoại trên bảng là gì ?,là số 0946497799
000000004776.jpg,mọi người đang đứng ở quầy hàng gì ?,đang đứng ở quầy bán rau củ quả
000000009647.jpg,cô gái áo đen đang đứng ở quầy hàng gì ?,đang đứng ở quầy hàng rau củ quả
000000005452.jpg,cây gì được trồng ở dưới nước ?,dừa nước
000000002539.jpg,cửa hàng kim thanh nằm bên nào ?,cửa hàng kim thanh nằm bên trái
000000005499.jpg,người đứng trong cửa hàng tiện lợi mặc áo màu gì ?,người đứng trong cửa hàng tiện lợi mặc áo màu đỏ
000000010570.jpg,cửa hàng xe máy có tên là gì ?,cửa hàng xe máy có tên là hải anh
000000004481.jpg,người đàn ông đang làm gì ?,bán đồ da
000000009342.jpg,quán bún chả hồ gươm bán với giá như thế nào ?,từ 30 000 đồng đến 60 000 đồng
000000001338.jpg,đường này là đường gì ?,đường này là đường cao tốc
000000010341.jpg,đền được xây dựng để tôn thờ những ai ?,anh hùng liệt sĩ
000000007789.jpg,có bao nhiêu người đang đi xe máy trong chợ ?,có hai người đang đi xe máy trong chợ
000000009055.jpg,gia đình người phụ nữ áo hồng đang làm gì ?,đang đứng tính tiền
000000010533.jpg,chữ x2 có màu gì ?,chữ x2 có màu trắng
000000009770.jpg,có bao nhiêu cái đèn treo trước cổng quán ?,có năm cái đèn treo trước cổng quán
000000005717.jpg,người phụ nữ đang cầm túi ni lông bằng tay nào ?,đang cầm bằng tay trái
000000009383.jpg,các người dân quân đang làm gì ?,đang giăng dây cách ly khu vực xuất hiện ca nhiễm
000000010902.jpg,hai người này đang đứng ở đâu ?,ở trước cửa hàng con sóc
000000000999.jpg,cửa hàng co . op funny nằm trên con đường nào ?,đường xa lộ hà nội
000000008943.jpg,có mấy chợ được giới thiệu ?,có bốn chợ được giới thiệu
000000010164.jpg,quán đối diện tên gì ?,thúy kiều
000000002371.jpg,lễ này phát động điều gì ?,lễ này phát động ra quân lao động tình nguyện hè
000000008038.jpg,bầu trời tại khu vực này đang trông như thế nào ?,bầu trời xanh và ít mây
000000001796.jpg,băng rôn này dùng để chào đón sự kiện gì ?,băng rôn này dùng để chào đón ngày nhà giáo việt nam 20 - 11
000000002290.jpg,doanh thu của đơn vị nào là cao nhất ?,doanh thu của masan group là cao nhất
000000009354.jpg,phương châm của nhân viên làm việc ở đây là gì ?,sẵn sàng phục vụ
000000005319.jpg,hai người đàn ông đang đứng ở quầy bán mặt hàng gì ?,quần bán thịt
000000005460.jpg,việc mà người này đang làm là gì ?,đi mua sắm trong siêu thị
000000000751.jpg,công ty này tên gì ?,công ty tnhh thiết kế- xây dựng kiến an vinh
000000002803.jpg,gói quà bên phải giá bao nhiêu ?,499 000 đồng
000000002120.jpg,quán ăn này có phục vụ đặc biệt món gì vào buổi trưa ?,cơm trưa văn phòng
000000006129.jpg,có bao nhiêu người đến mua đồ trang trí ?,không có ai đến mua
000000008330.jpg,có mấy người đang sử dụng xe đạp ?,có một người
000000002708.jpg,số điện thoại văn phòng là gì ?,là 0862898866
000000010825.jpg,khăn tay cc xanh ngọc được bán với gia bao nhiêu tiền ?,39 000 đồng một cái
000000009728.jpg,quầy hàng bên phải bán những mặt hàng gì ?,bán các món ăn vặt
000000010371.jpg,có bao nhiêu người đi trên đường ray ?,có hai người
000000009000.jpg,các mặt hàng trong siêu thị được bán với giá bao nhiêu tiền ?,các mặt hàng trong siêu thị được bán với giá 0 đồng
000000000833.jpg,số điện thoại liên lạc huỳnh hương shop là gì ?,0938951735-0902995245
000000001449.jpg,họ và tên là gì ?,lê ngọc nhớ
000000003215.jpg,hãy nói không với gì ?,hãy nói không với thực phẩm bẩn
000000002271.jpg,quán trà sữa 96 nằm trên đường nào ?,đường tô vĩnh diện
000000010151.jpg,có bao nhiêu người ?,có một người
000000005496.jpg,người phụ nữ đang làm gì ?,bà ấy đang đẩy xe
000000010006.jpg,bức ảnh chụp các hộp cà gai leo nằm ở đâu ?,nằm ở dưới bên phải
000000008233.jpg,người phụ nữ đeo túi xách trắng đứng về phía bên nào so với người phụ nữ đeo túi xách đen ?,người phụ nữ đeo túi xách trắng đứng phía bên trái của người phụ nữ đeo túi xách đen
000000006459.jpg,ba cô gái này đều mặc trang phục ra sao ?,ba cô gái này đều mặc áo dài trắng
000000003199.jpg,lý do của thông báo đóng cửa chợ bình long là gì ?,lý do là tạm đóng cửa phòng chống dịch covid-19
000000007098.jpg,khu vực này là khu vực nào ?,khu vực này là một khu khai thác dầu mỏ
000000010244.jpg,có mấy cái máy điều hòa trên mái nhà ?,có hai cái máy điều hòa trên mái nhà
000000009302.jpg,các học sinh đi tham quan du lịch vào mùa lễ nào ?,tết
000000005389.jpg,có tất cả bao nhiêu chiếc thuyền ?,có bảy chiếc thuyền
000000009862.jpg,có bao nhiêu người đang tham quan viện bảo tàng ?,có bốn người tham quan viện bảo tàng
000000010403.jpg,nhà trưng bày thuộc khu di tích nào ?,nhà trưng bày thuộc khu du tích bến tiếp nhận vũ khí cồn tàu
000000009005.jpg,tên quán được trang trí bằng màu gì ?,màu đỏ
000000002373.jpg,người phụ nữ này đang đứng ở đâu ?,ở trước nhà tiếp đón củam một khu di tích lịch sử
000000007935.jpg,ai đang đứng bên cạnh người đàn ông mặc sơ mi trắng ?,người mặc áo khoác đen đang đứng bên cạnh người đàn ông mặc sơ mi trắng
000000010247.jpg,người đàn ông mặc áo màu gì ?,màu xanh lá
000000002947.jpg,áo của ông đạp xe xích lô màu gì ?,màu xanh dương
000000010001.jpg,bác bảo vệ đang đứng ở đâu ?,bên trái ngoài cùng
000000002222.jpg,biển hiệu quảng bá cho cửa hàng gì ?,biển hiệu quảng bá cho cửa hàng cà phê
000000002366.jpg,người phụ nữ này đang đứng ở đâu ?,ở trong lan phương spa
000000005983.jpg,người phụ nữ mang áo màu gì ?,người phụ nữ mang áo màu xanh dương
000000000694.jpg,quán ăn minh ký mì gia ngụ tại số mấy trên đường mai văn vĩnh ?,31
000000009289.jpg,quán có bảng hiệu nền màu vàng có tên là gì ?,nhà hàng xanh
000000009876.jpg,đây là buổi nào trong ngày ?,buổi trưa
000000011058.jpg,những người này đang ngồi ở đâu ?,công viên
000000002244.jpg,bánh được bán ở tiệm bánh này được nhập khẩu từ đâu ?,từ mỹ
000000003965.jpg,quầy hàng ở phía bên tay phải bán những loại thực phẩm gì ?,bán các loại rượu
000000002822.jpg,đang có sự kiện gì của trường mầm non quốc tế sakura montessori ?,"trường mầm non quốc tế sakura montessori đang có sự kiện khai trương , tặng học bổng 9 triệu đồng cho 30 học viên đầu tiên đăng ký"
000000004258.jpg,chiếc xe được đâu bên lề đường có màu gì ?,chiếc xe có màu trắng
000000001436.jpg,con số 2014 được trang trí bằng đèn màu gì ?,con số 2014 được trang trí bằng đèn màu đỏ
000000010826.jpg,cánh cổng này dẫn vào ngôi đền tưởng niệm đến ai ?,tưởng niệm đến các vua hùng
000000010495.jpg,phía trước khung hình đang bày gì ?,phía trước khung hình là các thùng mì tôm
000000002896.jpg,đây là nơi nào ?,đây là trường dương quảng hàm
000000005205.jpg,quan cảnh này được ghi nhận ở đâu ?,trước chợ bến thành
000000004674.jpg,có bao nhiêu người tạo dáng chụp ảnh ?,có một người tạo dáng chụp ảnh
000000006789.jpg,có bao nhiêu người đang đứng ngoài nắng bên ngoài siêu thị ?,không có
000000011192.jpg,đây là cửa hàng gì ?,đây là cửa hàng áo cưới
000000001423.jpg,những gian hàng đặt ở bên ngoài chợ bà chiểu chủ yếu bán những mặt hàng gì ?,bán quần áo
000000010282.jpg,có bao nhiêu người chạy xe trên đường ?,có một người chạy xe trên đường
000000000783.jpg,trang web của cửa hàng là gì ?,www . cybercore . vn
000000003228.jpg,địa chỉ cụ thể của trung tâm viettel này là gì ?,"số 15 đường hùng vương , huyện ngọc hồi"
000000005096.jpg,người phụ nữ mặc áo trắng đang làm gì ?,đang lựa đồ
000000003185.jpg,trường có địa chỉ ở đâu ?,"ở 123 quốc lộ 13 , phường hiệp bình chánh , quận thử đức , thành phố hồ chí minh"
000000004511.jpg,trên mặt nước có mấy chiếc thuyền ?,có ba chiếc thuyền trên mặt nước
000000007358.jpg,người đàn ông đội nón trắng mang áo màu gì ?,người đàn ông mang áo màu xanh dương
000000009139.jpg,măng cụt được bán tại đó với giá bao nhiêu một cân ?,30 000 đồng
000000009788.jpg,chữ gì ghi được ghi màu trắng ?,thế giới hình chữ s
000000001834.jpg,doanh nghiệp này mở cửa hàng tại số nhà mấy trên đường nguyễn ái quốc ?,829
000000007200.jpg,mọi người đang làm gì ?,đang thu gom rác thải
000000001235.jpg,chợ bình tây quyết tâm thực hiện điều gì ?,chợ bình tây quyết tâm thực hiện tốt công tác phòng cháy chữa cháy
000000005791.jpg,cô gái mặc váy trắng đang chụp hình ở đâu ?,ven đường sắt
000000010307.jpg,có bao nhiêu người đang ở xung quanh gian hàng sách ?,có ba người đang ở xung quanh gian hàng sách
000000011098.jpg,quầy quầy hàng chỗ người nhân viên mặc áo đỏ đang đứng thuộc nhóm quầy hàng gì ?,nhóm xúc xích
000000002764.jpg,khu du lịch này là khu dịch lịch gì ?,khu du lịch vinh san
000000000881.jpg,cửa hàng này bán gì ?,"cửa hàng bán thiết bị điện , điện gia dụng các loại"
000000006652.jpg,những quyển sách này được viết bằng ngôn ngữ gì ?,những quyển sách này được viết bằng tiếng việt
000000009006.jpg,người phụ nữ mặc áo đỏ đang ngồi ở cửa số bao nhiêu ?,cửa số 1
000000006168.jpg,trên tay của thanh niên này có thứ gì ?,bọc đựng ly trà sữa
000000004907.jpg,có mấy chiếc thuyền trên biển ?,có một chiếc thuyền trên biển
000000005360.jpg,con trâu nằm bên nào của con voi ?,con trâu nằm bên phải con voi
000000004501.jpg,cậu thanh niên đang đứng ở đâu ?,bên ngoài một tòa thành
000000005909.jpg,cái đĩa đựng hai khúc cá có hình gì ?,cái đĩa đựng hai khúc cá có hình tròn
000000011127.jpg,ngày cửa hàng bắt đầu hoạt động là ngày nào ?,cửa hàng bắt đầu hoạt động vào ngày 27 tháng 11 năm 2018
000000011059.jpg,chị nhân viên phục vụ tại quán trà sữa này mặc chiếc áo màu gì ?,chị ấy mặc áo màu đen
000000001815.jpg,tấm biển chỉ dẫn có chữ màu gì ?,màu trắng
000000002385.jpg,ta đang ở đâu ?,ta đang ở đèo khau pha
000000009461.jpg,cô gái đeo nón bảo hiểm đeo đồng hồ ở tay nào ?,tay phải
000000008950.jpg,cửa hàng nào nằm ngay góc phố ?,cửa hàng concung . com
000000008007.jpg,bạn nữ đeo mắt kính mặc áo đen đang đứng ở sạp bán hàng nào ?,sạp bán quần áo
000000001284.jpg,vì sao không được vào công viên nước ?,"vì công viên nước đang trong thời gian duy tu , bão dưỡng nên dừng hoạt động"
000000006384.jpg,bạn nam mặc áo trắng đang đi với ai ?,bạn nam mặc áo trắng đang đi với bạn nữ mặc áo vàng
000000005630.jpg,chiếc thùng màu đỏ phía bên phải có chữ quảng bá cho nhãn hàng nào ?,bia sài gòn
000000001635.jpg,chú chó đang ở trong quán nào ?,quán cư xá cà phê
000000009940.jpg,có thể nhìn thấy cái cân nằm ở đâu ?,cái cân nằm tại quầy thịt của người phụ nữ đeo tạp dề đỏ
000000008086.jpg,túi xách của người phụ nữ mặc áo trắng có màu gì ?,màu đen
000000008632.jpg,người dân ở đây đang làm hoạt động gì ?,họ đang đi mua sắm trong siêu thị
000000005377.jpg,chiếc xe điện có màu gì ?,chiếc xe điện có màu đỏ
000000007064.jpg,kệ hàng này có bao nhiêu tầng ?,có sáu tầng
000000005871.jpg,người đàn bà mặc áo màu gì ?,người đàn bà mặc áo màu tím
000000006244.jpg,"người phụ nữ bán hàng đang vừa nghe điện thoại , vừa chìa tay ra làm gì ?","người phụ nữ bán hàng đang vừa nghe điện thoại , vừa chìa tay đưa tiền cho khách"
000000011174.jpg,bạn nữ mặc áo cam đang đi ở đâu ?,đang đi trên con phố ngang qua căn nhà ở số nhà 52
000000010701.jpg,quán nước có tên là gì ?,quán nước có tên là ding tea
000000006458.jpg,bên kia sông là gì ?,bên kia sông là dãy nhà của người dân
000000009764.jpg,cô gái mặc đồ đen mang mắt kính màu gì ?,màu đen
000000007580.jpg,có bao nhiêu người đang ngồi ở bàn thanh toán ?,không có ai đang ngồi
000000006180.jpg,người phụ nữ mặc áo trắng đi siêu thị với ai ?,với một người đàn ông mặc áo đen
000000002271.jpg,quán trà sữa 96 nằm ở số nhà bao nhiêu ?,14
000000009392.jpg,có bao nhiêu chiếc xe máy trước quán bia phố cổ ?,có hai chiếc xe máy trước quán bia phố cổ
000000009333.jpg,số điện thoại liên lạc là gì ?,0919467868
000000009295.jpg,nguồn của bức ảnh là ở đâu ?,tiền phong
000000004008.jpg,đây là địa danh nào nổi tiếng ở việt nam ?,đây là kinh thành cố đô huế
000000010424.jpg,người phụ nữ mặc áo đen đang làm gì ?,đang thuyết minh đến nhóm học sinh
000000006177.jpg,người phụ nữ này đeo đồ vật gì trên mặt ?,cô ấy đeo kính râm
000000002557.jpg,liên hệ tú anh đường qua số nào ?,qua số 0939148169 hoặc 0939225569
000000008747.jpg,bạn nữ mặc áo xanh lá đang chụp ảnh ở đâu ?,khu trưng bày những bức ảnh
000000006245.jpg,người phụ nữ này đang chụp cảnh gì ?,cô ấy đang chụp những bông hoa trên cây
000000002393.jpg,vinmart bán nước rửa chén lix trà xanh giá bao nhiêu một chai ?,vinmart bán nước rửa chén lix trà xanh giá 92 000 một chai
000000010004.jpg,nút đăng kí có màu sắc chủ đạo là màu gì ?,màu xanh dương
000000005308.jpg,người này có giới tính gì ?,người này là nữ
000000006227.jpg,người đàn ông đang lựa sầu riêng có mang vật gì màu xanh dương trên tay ?,ông ấy mang găng tay màu xanh dương
000000008806.jpg,cửa hàng bảo như chuyên buôn bán thiết bị gì ?,điện thoại di động
000000001061.jpg,đa số mọi người mặc áo màu gì ?,màu xanh da trời
000000010793.jpg,cuộc thi của biển báo có tên là gì ?,cuộc thi của biển báo có tên là tìm hiểu luật cảnh sát biển việt nam
000000004454.jpg,có bao nhiêu chiếc ghe trên sông ?,có hai chiếc ghe trên sông
000000002023.jpg,chiếc xe đang đậu ở đâu ?,chiếc xe đang đậu ở trước cổng hội đồng nhân dân - ủy ban nhân dân xã phú minh
000000004046.jpg,có bao nhiêu người chạy xe máy trên đường ?,có một người chạy xe máy trên đường
000000002040.jpg,tiệm trà chanh này tên gì ?,tên số
000000006692.jpg,những vật trang trí trên được trưng bày vào dịp nào ?,vào dịp giáng sinh
000000008056.jpg,có bao nhiêu người ngồi bán hoa trên lề đường ?,có hai người ngồi bán hoa trên lề đường
000000008006.jpg,có mấy người trên xuồng ?,có ba người trên xuồng
000000004880.jpg,người phụ nữ để túi bên nào ?,người phụ nữ để túi bên trái
000000006026.jpg,cây hoa được chụp là hoa gì ?,cây hoa được chụp là hoa giấy
000000008699.jpg,mọi người đang tập trung ở đâu ?,ở xung quanh một nhóm nhạc đường phố
000000000822.jpg,đây là cột mốc của địa điểm nào ?,núi bà đen
000000002473.jpg,nhà hàng có số điện thoại là gì ?,05103919229
000000009993.jpg,tường nhà bên trong cửa hiệu màu gì ?,màu xanh lá
000000007030.jpg,người con trai này đang ngồi ở đâu ?,ở trên bậc cầu thang
000000009252.jpg,chiếc bàn cô ấy đứng thuộc về đâu ?,thuộc về bộ ngoại giao
000000002134.jpg,cửa hàng này mở bán các vật dụng trang trí cho mùa tết năm nào ?,tết năm 2022
000000001239.jpg,chợ đồng xuân nằm ở đâu ?,thành phố hà nội
000000007947.jpg,người đang đứng trên bậc thang ăn mặc ra sao ?,áo thun hồng và quần jean xanh
000000009040.jpg,rào chắn được dựng nên nhằm hạn chế việc gì ?,"hạn chế người địa phương khác ra vào phường 12 , quận bình thạnh"
000000009319.jpg,sữa nằm trên kệ giữa thuộc nhãn hàng nào ?,sữa thuộc nhãn hàng vinamilk
000000010389.jpg,người phụ nữ này xem hàng dãy bên nào ?,người phụ nữ xem hàng dãy bên trái
000000005691.jpg,chiếc xe máy người đàn ông đang đi có màu gì ?,chiếc xe máy có màu trắng
000000009162.jpg,người phụ nữ mặc áo đỏ đang ở đâu ?,quầy bán vật phẩm trang trí
000000009182.jpg,cửa hàng kinh doanh mặt hàng gì ?,cửa hàng kinh doanh trà sữa
000000002648.jpg,cửa hàng này có những hình thức bán hàng nào ?,bán trả góp và thu cũ đổi mới
000000011125.jpg,gọi cho số điện thoại nào để liên hệ làm bảng quảng cáo ?,0935248949
000000001206.jpg,căn nhà năm ở số bao nhiêu ?,căn nhà nằm ở số 99 / 18 / 5 / 33
000000005403.jpg,cậu bé có chiếc khăn choàng cổ màu gì ?,màu đỏ
000000005247.jpg,cầu thang nằm bên nào ?,bên trái
000000010018.jpg,cửa hàng ngụ tại số nhà 70 có tên là gì ?,ngaos
000000007763.jpg,đây là khu vực gì ?,một danh lam thắng cảnh
000000006051.jpg,người phụ nữ áo đỏ đang đứng ở đâu ?,đang đứng trong một cửa hàng
000000008748.jpg,ai là người cầm ly bắp rang bơ trên tay ?,người phụ nữ áo đỏ
000000004846.jpg,hai chai nước khoáng có nắp màu gì ?,hai chai nước khoáng có nắp màu xanh dương
000000010330.jpg,đây là khu vực nào trong siêu thị ?,đây là khu vực bánh kẹo
000000007342.jpg,trên bàn có gì ?,trên bàn có những chai nước suối
000000007100.jpg,người đàn ông đẩy chiếc xe bán hàng rong sử dụng cây dù màu gì ?,cây dù màu tím
000000004596.jpg,những túi đựng nông sản được đặt trong cái gì ?,những túi đựng nông sản được đặt trong những cái rổ màu xanh dương
000000010179.jpg,cửa hàng này tên gì ?,cửa hàng này tên vinmart
000000007781.jpg,cô gái đang ngồi ở đâu ?,quầy bán tính trong một cửa hàng tạp hóa
000000007770.jpg,người đàn ông đang ở đâu ?,đang ở trên một cánh đồng
000000006968.jpg,những lá cờ được treo ở đâu ?,ở trước cửa những ngôi nhà
